Instrument,Question Label,Question Description,Question ID,Response Label,Response Value,Response Description,,
,,,,Don't Know,DK,,,
,,,,Missing Data,MD,,,
,ON THE GO/DRIVEN BY A MOTOR,,ACDS_14,NO,0,,,
,,,,YES,1,,,
,,,,Don't Know,DK,,,
,,,,Missing Data,MD,,,
,TALKS EXCESSIVELY,,ACDS_15,NO,0,,,
,,,,YES,1,,,
,,,,Don't Know,DK,,,
,,,,Missing Data,MD,,,
,BLURTS OUT ANSWERS,,ACDS_16,NO,0,,,
,,,,YES,1,,,
,,,,Don't Know,DK,,,
,,,,Missing Data,MD,,,
,DIFFICULTY WAITNG TURN,,ACDS_17,NO,0,,,
,,,,YES,1,,,
,,,,Don't Know,DK,,,
,,,,Missing Data,MD,,,
,INTERRUPTS OR INTRUDES,,ACDS_18,NO,0,,,
,,,,YES,1,,,
,,,,Don't Know,DK,,,
,,,,Missing Data,MD,,,
,DID RESPONDENT REPORT ADHD SYMPTOMS PRIOR TO AGE 7?,,ACDS_19,NO,0,,,
,,,,YES,1,,,
,,,,Don't Know,DK,,,
,,,,Missing Data,MD,,,
,CARELESS/SLOPPY,,ACDS_20,NO,0,,,
,,,,YES,1,,,
,,,,Don't Know,DK,,,
,,,,Missing Data,MD,,,
,DIFFICULTY SUSTAINING ATTENTION,,ACDS_21,NO,0,,,
,,,,YES,1,,,
,,,,Don't Know,DK,,,
,,,,Missing Data,MD,,,
,DOESN'T LISTEN,,ACDS_22,NO,0,,,
,,,,YES,1,,,
,,,,Don't Know,DK,,,
,,,,Missing Data,MD,,,
,DIFFICULTY FOLLOWING INSTRUCTIONS (FINISHING),,ACDS_23,NO,0,,,
,,,,YES,1,,,
,,,,Don't Know,DK,,,
,,,,Missing Data,MD,,,
,DIFFICULTY ORGANIZING TASKS/ACTIVITES,,ACDS_24,NO,0,,,
,,,,YES,1,,,
,,,,Don't Know,DK,,,
,,,,Missing Data,MD,,,
,AVOIDANCE OF TASKS WITH SUSTAINED MENTAL EFFORT,,ACDS_25,NO,0,,,
,,,,YES,1,,,
,,,,Don't Know,DK,,,
,,,,Missing Data,MD,,,
,LOSES THINGS,,ACDS_26,NO,0,,,
,,,,YES,1,,,
,,,,Don't Know,DK,,,
,,,,Missing Data,MD,,,
,EASILY DISTRACTED,,ACDS_27,NO,0,,,
,,,,YES,1,,,
,,,,Don't Know,DK,,,
,,,,Missing Data,MD,,,
,FORGETFUL IN DAILY ACTIVITIES,,ACDS_28,NO,0,,,
,,,,YES,1,,,
,,,,Don't Know,DK,,,
,,,,Missing Data,MD,,,
,FIDGETS/SQUIRMS,,ACDS_29,NO,0,,,
,,,,YES,1,,,
,,,,Don't Know,DK,,,
,,,,Missing Data,MD,,,
,DIFFICULTY REMAINING SEATED,,ACDS_30,NO,0,,,
,,,,YES,1,,,
,,,,Don't Know,DK,,,
,,,,Missing Data,MD,,,
,RUNS/CLIMBS EXCESSIVELY/INAPPROPRIATELY,,ACDS_31,NO,0,,,
,,,,YES,1,,,
,,,,Don't Know,DK,,,
,,,,Missing Data,MD,,,
,DIFFICULTY PLAYING QUIETLY,,ACDS_32,NO,0,,,
,,,,YES,1,,,
,,,,Don't Know,DK,,,
,,,,Missing Data,MD,,,
,ON THE GO/DRIVEN BY A MOTOR,,ACDS_33,NO,0,,,
,,,,YES,1,,,
,,,,Don't Know,DK,,,
,,,,Missing Data,MD,,,
,TALKS EXCESSIVELY,,ACDS_34,NO,0,,,
,,,,YES,1,,,
,,,,Don't Know,DK,,,
,,,,Missing Data,MD,,,
,BLURTS OUT ANSWERS,,ACDS_35,NO,0,,,
,,,,YES,1,,,
,,,,Don't Know,DK,,,
,,,,Missing Data,MD,,,
,DIFFICULTY WAITING TURN,,ACDS_36,NO,0,,,
,,,,YES,1,,,
,,,,Don't Know,DK,,,
,,,,Missing Data,MD,,,
,INTERRUPTS OR INTRUDES,,ACDS_37,NO,0,,,
,,,,YES,1,,,
,,,,Don't Know,DK,,,
,,,,Missing Data,MD,,,
,CHILDHOOD ONSET OF ADHD (PRIOR TO AGE 7)?,,ACDS_38,NO,0,,,
,,,,YES,1,,,
,,,,Don't Know,DK,,,
,,,,Missing Data,MD,,,
,SIGNIFICANT AND SUFFICIENT CURRENT ADHD SYMPTOMS?,,ACDS_39,NO,0,,,
,,,,YES,1,,,
,,,,Don't Know,DK,,,
,,,,Missing Data,MD,,,
,SIGNIFICANT IMPAIRMENT IN TWO OR MORE SETTINGS?,,ACDS_40,NO,0,,,
,,,,YES,1,,,
,,,,Don't Know,DK,,,
,,,,Missing Data,MD,,,
,ARE SYMPTOMS PRIMARILY DUE TO ADHD AND NOT ANOTHER MENTAL HEALTH DISORDER?,,ACDS_41,NO,0,,,
,,,,YES,1,,,
,,,,Don't Know,DK,,,
,,,,Missing Data,MD,,,
,ADHD SUBTYPE,,ACDS_42,"ADHD, INATTENTIVE SUBTYPE",1,,,
,,,,"ADHD, HYPERACTIVE-IMPULSIVE SUBTYPE",2,,,
,,,,"ADHD, COMBINED SUBTYPE",3,,,
,,,,"ADHD, NOS",4,,,
,,,,NO ADHD DIAGNOSIS,9,,,
,,,,Don't Know,DK,,,
,,,,Missing Data,MD,,,
Actigraphy,MinBedTime,Earliest bedtime,ACTIGRAPH_01,,,,,
,MinGetUpTime,Earliest get up time,ACTIGRAPH_02,,,,,
,MinTimeInBedHours,Shortest time spent in bed (hours),ACTIGRAPH_03,,,,,
,MinTotalSleepTimeHours,Shortest time spent sleeping (hours),ACTIGRAPH_04,,,,,
,MinOnsetLatencyMinutes,Shortest time to fall asleep (minutes),ACTIGRAPH_05,,,,,
,MinSleepEfficiencyPercent,Minimum sleep efficiency (%),ACTIGRAPH_06,,,,,
,MinWASOMinutes,Minimum WASO (minutes).,ACTIGRAPH_07,,,,,
,MinNumAwak,Minimum number of times subject woke up during the night,ACTIGRAPH_08,,,,,
,MaxBedTime,Latest bedtime,ACTIGRAPH_9,,,,,
,MaxGetUpTime,Latest get up time,ACTIGRAPH_10,,,,,
,MaxTimeInBedHours,Longest time spent in bed (hours),ACTIGRAPH_11,,,,,
,MaxTotalSleepTimeHours,Longest time spent sleeping (hours),ACTIGRAPH_12,,,,,
,MaxOnsetLatencyMinutes,Longest time to fall asleep (minutes),ACTIGRAPH_13,,,,,
,MaxSleepEfficiencyPercent,Maximum sleep efficiency (%),ACTIGRAPH_14,,,,,
,MaxWASOMinutes,Maximum WASO (minutes),ACTIGRAPH_15,,,,,
,MaxNumAwak,Maximum number of times subject woke up during the night,ACTIGRAPH_16,,,,,
,AvgBedTime,Average bedtime,ACTIGRAPH_17,,,,,
,AvgGetUpTime,Average get up time,ACTIGRAPH_18,,,,,
,AvgTimeInBedHours,Average time spent in bed per night (hours),ACTIGRAPH_19,,,,,
,AvgTotalSleepTimeHours,Average time spent sleeping per night (hours),ACTIGRAPH_20,,,,,
,AvgOnsetLatencyMinutes,Average time to fall asleep (minutes),ACTIGRAPH_21,,,,,
,AvgSleepEfficiencyPercent,Average sleep efficiency (%),ACTIGRAPH_22,,,,,
,AvgWASOMinutes,Average WASO (minutes),ACTIGRAPH_23,,,,,
,AvgNumAwak,Average number of times subject woke up during the night,ACTIGRAPH_24,,,,,
Age,Age in Years at Visit 2,,AGE_01,,,,,
,Age in Months at Visit 2,,AGE_02,,,,,
,Age in Days at Visit 2,,AGE_03,,,,,
,Calculated Age,,AGE_04,,,,,
AIM,When I acomplish something difficult I feel delighted or elated.,,CCDAIM_01,Never,1,,,
,,,,Almost Never,2,,,
,,,,Occasionally,3,,,
,,,,Usually,4,,,
,,,,Almost Always,5,,,
,,,,Always,6,,,
,,,,Don't Know,DK,,,
,,,,Missing Data,MD,,,
,When I feel happy it is a strong type of exhuberance.,,CCDAIM_02,Never,1,,,
,,,,Almost Never,2,,,
,,,,Occasionally,3,,,
,,,,Usually,4,,,
,,,,Almost Always,5,,,
,,,,Always,6,,,
,,,,Don't Know,DK,,,
,,,,Missing Data,MD,,,
,I enjoy being with other people very much.,,CCDAIM_03,Never,1,,,
,,,,Almost Never,2,,,
,,,,Occasionally,3,,,
,,,,Usually,4,,,
,,,,Almost Always,5,,,
,,,,Always,6,,,
,,,,Don't Know,DK,,,
,,,,Missing Data,MD,,,
,I feel prety bad when I tell a lie.,,CCDAIM_04,Never,1,,,
,,,,Almost Never,2,,,
,,,,Occasionally,3,,,
,,,,Usually,4,,,
,,,,Almost Always,5,,,
,,,,Always,6,,,
,,,,Don't Know,DK,,,
,,,,Missing Data,MD,,,
,"When I solve a small personal problem, I feel euphoric.",,CCDAIM_05,Never,1,,,
,,,,Almost Never,2,,,
,,,,Occasionally,3,,,
,,,,Usually,4,,,
,,,,Almost Always,5,,,
,,,,Always,6,,,
,,,,Don't Know,DK,,,
,,,,Missing Data,MD,,,
,My emotions tend to be more intense than those of most people.,,CCDAIM_06,Never,1,,,
,,,,Almost Never,2,,,
,,,,Occasionally,3,,,
,,,,Usually,4,,,
,,,,Almost Always,5,,,
,,,,Always,6,,,
,,,,Don't Know,DK,,,
,,,,Missing Data,MD,,,
,"My happy moods are so strong that I feel that I'm in heaven"".""",,CCDAIM_07,Never,1,,,
,,,,Almost Never,2,,,
,,,,Occasionally,3,,,
,,,,Usually,4,,,
,,,,Almost Always,5,,,
,,,,Always,6,,,
,,,,Don't Know,DK,,,
,,,,Missing Data,MD,,,
,I get overly enthusiastic.,,CCDAIM_08,Never,1,,,
,,,,Almost Never,2,,,
,,,,Occasionally,3,,,
,,,,Usually,4,,,
,,,,Almost Always,5,,,
,,,,Always,6,,,
,,,,Don't Know,DK,,,
,,,,Missing Data,MD,,,
,"If I complete a task I thought was impossible, I am ecstatic.",,CCDAIM_09,Never,1,,,
,,,,Almost Never,2,,,
,,,,Occasionally,3,,,
,,,,Usually,4,,,
,,,,Almost Always,5,,,
,,,,Always,6,,,
,,,,Don't Know,DK,,,
,,,,Missing Data,MD,,,
,My heart races at the anticipation of some exciting event.,,CCDAIM_10,Never,1,,,
,,,,Almost Never,2,,,
,,,,Occasionally,3,,,
,,,,Usually,4,,,
,,,,Almost Always,5,,,
,,,,Always,6,,,
,,,,Don't Know,DK,,,
,,,,Missing Data,MD,,,
,Sad movies deeply touch me.,,CCDAIM_11,Never,1,,,
,,,,Almost Never,2,,,
,,,,Occasionally,3,,,
,,,,Usually,4,,,
,,,,Almost Always,5,,,
,,,,Always,6,,,
,,,,Don't Know,DK,,,
,,,,Missing Data,MD,,,
,When I'm happy it's a feeling of being untroubled and content rather than being zestful and aroused.,,CCDAIM_12,Never,1,,,
,,,,Almost Never,2,,,
,,,,Occasionally,3,,,
,,,,Usually,4,,,
,,,,Almost Always,5,,,
,,,,Always,6,,,
,,,,Don't Know,DK,,,
,,,,Missing Data,MD,,,
,When I talk in front of a group for the first time my voice gets shaky and my heart races.,,CCDAIM_13,Never,1,,,
,,,,Almost Never,2,,,
,,,,Occasionally,3,,,
,,,,Usually,4,,,
,,,,Almost Always,5,,,
,,,,Always,6,,,
,,,,Don't Know,DK,,,
,,,,Missing Data,MD,,,
,"When something good happens, I am usually much more jubilant than others.",,CCDAIM_14,Never,1,,,
,,,,Almost Never,2,,,
,,,,Occasionally,3,,,
,,,,Usually,4,,,
,,,,Almost Always,5,,,
,,,,Always,6,,,
,,,,Don't Know,DK,,,
,,,,Missing Data,MD,,,
,My friends might say I am emotional.,,CCDAIM_15,Never,1,,,
,,,,Almost Never,2,,,
,,,,Occasionally,3,,,
,,,,Usually,4,,,
,,,,Almost Always,5,,,
,,,,Always,6,,,
,,,,Don't Know,DK,,,
,,,,Missing Data,MD,,,
,The memories I like the most are of those times when I felt content and peaceful rather than zestful and enthusiastic.,,CCDAIM_16,Never,1,,,
,,,,Almost Never,2,,,
,,,,Occasionally,3,,,
,,,,Usually,4,,,
,,,,Almost Always,5,,,
,,,,Always,6,,,
,,,,Don't Know,DK,,,
,,,,Missing Data,MD,,,
,The sight of someone who is hurt badly affects me strongly.,,CCDAIM_17,Never,1,,,
,,,,Almost Never,2,,,
,,,,Occasionally,3,,,
,,,,Usually,4,,,
,,,,Almost Always,5,,,
,,,,Always,6,,,
,,,,Don't Know,DK,,,
,,,,Missing Data,MD,,,
,When I'm feeling well it's easy for me to go from being in a good mood to being really joyful.,,CCDAIM_18,Never,1,,,
,,,,Almost Never,2,,,
,,,,Occasionally,3,,,
,,,,Usually,4,,,
,,,,Almost Always,5,,,
,,,,Always,6,,,
,,,,Don't Know,DK,,,
,,,,Missing Data,MD,,,
,"Calm and cool"" could easily describe me.""",,CCDAIM_19,Never,1,,,
,,,,Almost Never,2,,,
,,,,Occasionally,3,,,
,,,,Usually,4,,,
,,,,Almost Always,5,,,
,,,,Always,6,,,
,,,,Don't Know,DK,,,
,,,,Missing Data,MD,,,
,When I'm happy I feel like I'm bursting with joy.,,CCDAIM_20,Never,1,,,
,,,,Almost Never,2,,,
,,,,Occasionally,3,,,
,,,,Usually,4,,,
,,,,Almost Always,5,,,
,,,,Always,6,,,
,,,,Don't Know,DK,,,
,,,,Missing Data,MD,,,
,Seeing a picture of some violent car accident in a newspaper makes me feel sick to my stomach.,,CCDAIM_21,Never,1,,,
,,,,Almost Never,2,,,
,,,,Occasionally,3,,,
,,,,Usually,4,,,
,,,,Almost Always,5,,,
,,,,Always,6,,,
,,,,Don't Know,DK,,,
,,,,Missing Data,MD,,,
,When I'm happy I feel very energetic.,,CCDAIM_22,Never,1,,,
,,,,Almost Never,2,,,
,,,,Occasionally,3,,,
,,,,Usually,4,,,
,,,,Almost Always,5,,,
,,,,Always,6,,,
,,,,Don't Know,DK,,,
,,,,Missing Data,MD,,,
,When I receive an award I become overjoyed.,,CCDAIM_23,Never,1,,,
,,,,Almost Never,2,,,
,,,,Occasionally,3,,,
,,,,Usually,4,,,
,,,,Almost Always,5,,,
,,,,Always,6,,,
,,,,Don't Know,DK,,,
,,,,Missing Data,MD,,,
,"When I succeed at something, my reaction is calm contentment.",,CCDAIM_24,Never,1,,,
,,,,Almost Never,2,,,
,,,,Occasionally,3,,,
,,,,Usually,4,,,
,,,,Almost Always,5,,,
,,,,Always,6,,,
,,,,Don't Know,DK,,,
,,,,Missing Data,MD,,,
,When I do something wrong I have strong feelings of shame and guilt.,,CCDAIM_25,Never,1,,,
,,,,Almost Never,2,,,
,,,,Occasionally,3,,,
,,,,Usually,4,,,
,,,,Almost Always,5,,,
,,,,Always,6,,,
,,,,Don't Know,DK,,,
,,,,Missing Data,MD,,,
,I can remain calm even on the most trying days.,,CCDAIM_26,Never,1,,,
,,,,Almost Never,2,,,
,,,,Occasionally,3,,,
,,,,Usually,4,,,
,,,,Almost Always,5,,,
,,,,Always,6,,,
,,,,Don't Know,DK,,,
,,,,Missing Data,MD,,,
,"When things are going well I feel on top of the world"".""",,CCDAIM_27,Never,1,,,
,,,,Almost Never,2,,,
,,,,Occasionally,3,,,
,,,,Usually,4,,,
,,,,Almost Always,5,,,
,,,,Always,6,,,
,,,,Don't Know,DK,,,
,,,,Missing Data,MD,,,
,When I get angry it's easy for me to still be rational and not overreact.,,CCDAIM_28,Never,1,,,
,,,,Almost Never,2,,,
,,,,Occasionally,3,,,
,,,,Usually,4,,,
,,,,Almost Always,5,,,
,,,,Always,6,,,
,,,,Don't Know,DK,,,
,,,,Missing Data,MD,,,
,"When I know I have done something very well, I feel relaxed and content rather than excited and elated.",,CCDAIM_29,Never,1,,,
,,,,Almost Never,2,,,
,,,,Occasionally,3,,,
,,,,Usually,4,,,
,,,,Almost Always,5,,,
,,,,Always,6,,,
,,,,Don't Know,DK,,,
,,,,Missing Data,MD,,,
,When I do feel anxiety it is normally very strong.,,CCDAIM_30,Never,1,,,
,,,,Almost Never,2,,,
,,,,Occasionally,3,,,
,,,,Usually,4,,,
,,,,Almost Always,5,,,
,,,,Always,6,,,
,,,,Don't Know,DK,,,
,,,,Missing Data,MD,,,
,My negative moods are mild in intensity.,,CCDAIM_31,Never,1,,,
,,,,Almost Never,2,,,
,,,,Occasionally,3,,,
,,,,Usually,4,,,
,,,,Almost Always,5,,,
,,,,Always,6,,,
,,,,Don't Know,DK,,,
,,,,Missing Data,MD,,,
,When I am excited over something I want to share my feelings with everyone.,,CCDAIM_32,Never,1,,,
,,,,Almost Never,2,,,
,,,,Occasionally,3,,,
,,,,Usually,4,,,
,,,,Almost Always,5,,,
,,,,Always,6,,,
,,,,Don't Know,DK,,,
,,,,Missing Data,MD,,,
,"When I feel happiness, it is a quiet type of contentment.",,CCDAIM_33,Never,1,,,
,,,,Almost Never,2,,,
,,,,Occasionally,3,,,
,,,,Usually,4,,,
,,,,Almost Always,5,,,
,,,,Always,6,,,
,,,,Don't Know,DK,,,
,,,,Missing Data,MD,,,
,"My friends would probably say I'm a tense or high-strung"" person.""",,CCDAIM_34,Never,1,,,
,,,,Almost Never,2,,,
,,,,Occasionally,3,,,
,,,,Usually,4,,,
,,,,Almost Always,5,,,
,,,,Always,6,,,
,,,,Don't Know,DK,,,
,,,,Missing Data,MD,,,
,When I'm happy I bubble over with energy.,,CCDAIM_35,Never,1,,,
,,,,Almost Never,2,,,
,,,,Occasionally,3,,,
,,,,Usually,4,,,
,,,,Almost Always,5,,,
,,,,Always,6,,,
,,,,Don't Know,DK,,,
,,,,Missing Data,MD,,,
,"When I feel guilty, this emotion is quite strong.",,CCDAIM_36,Never,1,,,
,,,,Almost Never,2,,,
,,,,Occasionally,3,,,
,,,,Usually,4,,,
,,,,Almost Always,5,,,
,,,,Always,6,,,
,,,,Don't Know,DK,,,
,,,,Missing Data,MD,,,
,I would characterize my happy moods as closer to contentment than to joy.,,CCDAIM_37,Never,1,,,
,,,,Almost Never,2,,,
,,,,Occasionally,3,,,
,,,,Usually,4,,,
,,,,Almost Always,5,,,
,,,,Always,6,,,
,,,,Don't Know,DK,,,
,,,,Missing Data,MD,,,
,"When someone compliments me, I get so happy I could burst"".""",,CCDAIM_38,Never,1,,,
,,,,Almost Never,2,,,
,,,,Occasionally,3,,,
,,,,Usually,4,,,
,,,,Almost Always,5,,,
,,,,Always,6,,,
,,,,Don't Know,DK,,,
,,,,Missing Data,MD,,,
,When I am nervous I get shaky all over.,,CCDAIM_39,Never,1,,,
,,,,Almost Never,2,,,
,,,,Occasionally,3,,,
,,,,Usually,4,,,
,,,,Almost Always,5,,,
,,,,Always,6,,,
,,,,Don't Know,DK,,,
,,,,Missing Data,MD,,,
,When I am happy the feeling is more like contentment and inner calm than one of exhilaration and excitement.,,CCDAIM_40,Never,1,,,
,,,,Almost Never,2,,,
,,,,Occasionally,3,,,
,,,,Usually,4,,,
,,,,Almost Always,5,,,
,,,,Always,6,,,
,,,,Don't Know,DK,,,
,,,,Missing Data,MD,,,
ANT,Alert Effect,Alert Effect: Alerting is defined as achieving and maintaining and alert state. The alert effect was calculated by subtracting the mean reaction time of the double-cue conditions from the mean reaction time of the no-cue conditions.,ANT_01,,,,,
,OrientingEffect,"Orienting Effect: Orienting is the selection of information from sensory input.  Orienting is manipulated by presenting a cue indicating where in space a person should attend, thereby providing a basis for the person to direct attention to the cued location either overtly by moving the eyes or covertly without eye movement. The orienting effect was calculated by subtracting the mean reaction time of the spatial cue conditions from the mean reaction time of the center cue.",ANT_02,,,,,
,ConflictEffect,"Conflict Effect: The Conflict Effect assesses executive control through resolving conflict among responses, and is calculated by subtracting the mean reaction time of all congruent flanking conditions, summed across cue types, from the mean reaction time of incongruent flanking conditions.",ANT_03,,,,,
,GrandMeanEffect,"Grand Mean Effect: Mean of Alert Effect, Orienting Effect, Conflict Effect Subscores.",ANT_04,,,,,
,Accuracy,Accuracy: Percent of correct responses.,ANT_05,,,,,
,TrialFinished,Trial Finished: The number 312 indicates that all trials were completed.,ANT_06,,,,,
ASR,I am too forgetful,,ASRM_01,Not True,0,,,
,,,,Somewhat or Sometimes True,1,,,
,,,,Very True or Often True,2,,,
,,,,Don't Know,DK,,,
,,,,Missing Data,MD,,,
,I make good use of my opportunities,,ASRM_02,Not True,0,,,
,,,,Somewhat or Sometimes True,1,,,
,,,,Very True or Often True,2,,,
,,,,Don't Know,DK,,,
,,,,Missing Data,MD,,,
,I argue a lot,,ASRM_03,Not True,0,,,
,,,,Somewhat or Sometimes True,1,,,
,,,,Very True or Often True,2,,,
,,,,Don't Know,DK,,,
,,,,Missing Data,MD,,,
,I work up to my ability,,ASRM_04,Not True,0,,,
,,,,Somewhat or Sometimes True,1,,,
,,,,Very True or Often True,2,,,
,,,,Don't Know,DK,,,
,,,,Missing Data,MD,,,
,I blame others for my problems,,ASRM_05,Not True,0,,,
,,,,Somewhat or Sometimes True,1,,,
,,,,Very True or Often True,2,,,
,,,,Don't Know,DK,,,
,,,,Missing Data,MD,,,
,I use drugs (other than alcohol and nicotine) for nonmedical purposes,,ASRM_06a,Not True,0,,,
,,,,Somewhat or Sometimes True,1,,,
,,,,Very True or Often True,2,,,
,,,,Don't Know,DK,,,
,,,,Missing Data,MD,,,
,Describe:,,ASRM_06b,,,,,
,I brag,,ASRM_07,Not True,0,,,
,,,,Somewhat or Sometimes True,1,,,
,,,,Very True or Often True,2,,,
,,,,Don't Know,DK,,,
,,,,Missing Data,MD,,,
,I have trouble concentrating or paying attention for long,,ASRM_08,Not True,0,,,
,,,,Somewhat or Sometimes True,1,,,
,,,,Very True or Often True,2,,,
,,,,Don't Know,DK,,,
,,,,Missing Data,MD,,,
,I can't get my mind off certain thoughts,,ASRM_9a,Not True,0,,,
,,,,Somewhat or Sometimes True,1,,,
,,,,Very True or Often True,2,,,
,,,,Don't Know,DK,,,
,,,,Missing Data,MD,,,
,Describe:,,ASRM_9b,,,,,
,I have trouble sitting still,,ASRM_10,Not True,0,,,
,,,,Somewhat or Sometimes True,1,,,
,,,,Very True or Often True,2,,,
,,,,Don't Know,DK,,,
,,,,Missing Data,MD,,,
,I am too dependent on others,,ASRM_11,Not True,0,,,
,,,,Somewhat or Sometimes True,1,,,
,,,,Very True or Often True,2,,,
,,,,Don't Know,DK,,,
,,,,Missing Data,MD,,,
,I feel lonely,,ASRM_12,Not True,0,,,
,,,,Somewhat or Sometimes True,1,,,
,,,,Very True of Often True,2,,,
,,,,Don't Know,DK,,,
,,,,Missing Data,MD,,,
,I feel confused or in a fog,,ASRM_13,Not True,0,,,
,,,,Somewhat or Sometimes True,1,,,
,,,,Very True or Often True,2,,,
,,,,Don't Know,DK,,,
,,,,Missing Data,MD,,,
,I cry a lot,,ASRM_14,Not True,0,,,
,,,,Somewhat or Sometimes True,1,,,
,,,,Very True or Often True,2,,,
,,,,Don't Know,DK,,,
,,,,Missing Data,MD,,,
,I am pretty honest,,ASRM_15,Not True,0,,,
,,,,Somewhat or Sometimes True,1,,,
,,,,Very True or Often True,2,,,
,,,,Don't Know,DK,,,
,,,,Missing Data,MD,,,
,I am mean to others,,ASRM_16,Not True,0,,,
,,,,Somewhat or Sometimes True,1,,,
,,,,Very True or Often True,2,,,
,,,,Don't Know,DK,,,
,,,,Missing Data,MD,,,
,I daydream a lot,,ASRM_17,Not True,0,,,
,,,,Somewhat or Sometimes True,1,,,
,,,,Very True or Often True,2,,,
,,,,Don't Know,DK,,,
,,,,Missing Data,MD,,,
,I deliberately try to hurt or kill myself,,ASRM_18,Not True,0,,,
,,,,Somewhat or Sometimes True,1,,,
,,,,Very True or Often True,2,,,
,,,,Don't Know,DK,,,
,,,,Missing Data,MD,,,
,I try to get a lot of attention,,ASRM_19,Not True,0,,,
,,,,Somewhat or Sometimes True,1,,,
,,,,Very True of Often True,2,,,
,,,,Don't Know,DK,,,
,,,,Missing Data,MD,,,
,I damage or destroy my things,,ASRM_20,Not True,0,,,
,,,,Somewhat or Sometimes True,1,,,
,,,,Very True or Often True,2,,,
,,,,Don't Know,DK,,,
,,,,Missing Data,MD,,,
,I damage or destroy things belonging to others,,ASRM_21,Not True,0,,,
,,,,Somewhat or Sometimes True,1,,,
,,,,Very True or Often True,2,,,
,,,,Don't Know,DK,,,
,,,,Missing Data,MD,,,
,I worry about my future,,ASRM_22,Not True,0,,,
,,,,Somewhat or Sometimes True,1,,,
,,,,Very True or Often True,2,,,
,,,,Don't Know,DK,,,
,,,,Missing Data,MD,,,
,I break rules at work or elsewhere,,ASRM_23,Not True,0,,,
,,,,Somewhat or Sometimes True,1,,,
,,,,Very True or Often True,2,,,
,,,,Don't Know,DK,,,
,,,,Missing Data,MD,,,
,I don't eat as well as I should,,ASRM_24,Not True,0,,,
,,,,Somewhat or Sometimes True,1,,,
,,,,Very True or Often True,2,,,
,,,,Don't Know,DK,,,
,,,,Missing Data,MD,,,
,I don't get along with other people,,ASRM_25,Not True,0,,,
,,,,Somewhat or Sometimes True,1,,,
,,,,Very True or Often True,2,,,
,,,,Don't Know,DK,,,
,,,,Missing Data,MD,,,
,I don't feel guilty after doing something I shouldn't,,ASRM_26,Not True,0,,,
,,,,Somewhat or Sometimes True,1,,,
,,,,Very True or Often True,2,,,
,,,,Don't Know,DK,,,
,,,,Missing Data,MD,,,
,I am jealous of others,,ASRM_27,Not True,0,,,
,,,,Somewhat or Sometimes True,1,,,
,,,,Very True or Often True,2,,,
,,,,Don't Know,DK,,,
,,,,Missing Data,MD,,,
,I get along badly with my family,,ASRM_28,Not True,0,,,
,,,,Somewhat or Sometimes True,1,,,
,,,,Very True or Often True,2,,,
,,,,Don't Know,DK,,,
,,,,Missing Data,MD,,,
,"I am afraid of certain animals, situations, or places",,ASRM_29a,Not True,0,,,
,,,,Somewhat or Sometimes True,1,,,
,,,,Very True or Often True,2,,,
,,,,Don't Know,DK,,,
,,,,Missing Data,MD,,,
,Describe:,,ASRM_29b,,,,,
